episode,username,comment,quoted_user,quoted_text,join_date,post_num
Ep10,badabass,"Aw poor Chigiri getting subbed because of how sucks his fitness was. Meanwhile, Nikko and his dang eye jabbed with injury after his fail attempt to stop Shidou goal. Poor them all i guess.

This second half truly unexpected to me by how Ego-san react with the sub shenanigans. Reo and the blue clue? Ain't no way Reo just show his chameleon skill that fast and surprise motherfucker those Aiku already lmao.   Hide and seek is the best offline games on this fatamorgana-called-world-thing. Please comment nicely. I am newbie here.
 
I'm level  on mal-badges. View my badges ",,,Feb-20,9486.0
Ep14,aLotQuestion_,"Aw, the whole match was about the ""FLOW"" but in the end Isagi didn't go into the ""FLOW"", hopefully it get reserved to Season 3 and later!

But nonetheless, the ""LUCK"" that ended the Season 1 is also the ""LUCK"" that ended Season 2. It is a cool plot.Signature removed. Check your inbox",,,Dec-14,2638.0
Ep14,alphazeraniv,"Awesome Episode!!!

While I have some gripes with the production on the other episodes, they ended the season with quite an awesome episode,「LUCK」.

That was an awesome adaptation of the Rin vs Sae Matchup and Ego's fist pump lmao.",,,Apr-17,44.0
Ep1,sakurasyinks,Awesome intro for what's coming. I'm supeeer ready!!!,,,Jan-17,494.0
Ep14,PoochieMama,BAAAAAAAAAARRRRRRRRRRROUUUUUUUUUUUUUUUUUUU,,,Oct-22,1.0
Ep13,yellowheartren,"BACHIRA! Fly, my pretty! 💛 Beautiful! And still more bachisagi crumbs.
Oh, and Rin got a sharingan upgrade. Pfft.yellowheartrenDec 28, 2024 7:45 AM",,,Oct-09,775.0
Ep11,meysie,BAROU!!! WE ALL CHEERED!!!! ,,,Feb-24,83.0
Ep12,meysie,BAROU!!!! WE ALL CHEERED AGAIN LOUDER THIS TIME!!! ,,,Feb-24,83.0
Ep14,BblzAnonymous,"BEST EPISODE EVERBblzAnonymous
",,,Jan-21,2.0
Ep4,deg,"BL is not just Blue Lock but Boys Love too 

",,,Jan-09,105938.0
Ep11,Artromex,"BLUE LOCK IS SO BACK BABY

this episode was amazing, definitely the best one so far. it feels like every episode is getting better and better, both in germs of hype and also in terms of overall visuals.

Shidou's goal was AMAZING and Barou's entrance too. Everything in this episode was just so well done. People have no right to complain anymore 😭 Although I wish every episode before this also looked as good, I still have high hopes for the last couple episodes left !!!ArtromexDec 14, 2024 10:40 AM",,,Apr-23,286.0
Ep14,Llamarada735,BLUEEE LOOOOCK!!!!!!,,,Mar-23,2.0
Ep12,Ayano_Kuma,"BRO REO AND BAROU SO INTENSE OMG
",,,Jul-22,501.0
Ep2,removed-user,Baaaaaaadddddd Animation!!!!!!,,,Jul-18,561997.0
Ep4,Deivaible,Bachira's dribbling flashback in contrast to the dribbling right after is killing me. Even when i want to forget the animation they put that there to remind me how bad it is :(,,,Jan-14,10.0
Ep13,OtakuKun1,"Bachira’s technique was amazing! He reawakened his monster inside him and managed to change the situation on the field!

U-20 Japan team hadn’t even a chance how good Blue Lock was! 

It would be great if there were no more transitions or less-move frames. It’s not something enjoyable, the animation is fine, but the style must be changed.My tickets - MAL Bunkasai 2024:

https://imgur.com/a/m7ANrqo
https://imgur.com/a/xH8YXqt
https://imgur.com/a/NnZK4E1
https://imgur.com/a/NSutGkk
https://imgur.com/a/6t8z0bQ
https://imgur.com/a/rsqzLSO
https://imgur.com/a/UIuELJD
https://imgur.com/a/OpmB5P2

",,,Oct-22,1084.0
Ep2,lexagon08,Bad Animation. Complete disgrace to the manga.,,,Jan-22,12.0
Ep12,nelcalb,Barou Barou Maid cafe is the best comedy of the season,,,Feb-23,138.0
Ep11,Ranxomare,"Barou enters in the field with the idea to change all!!!
kekeke",,,Apr-16,25194.0
Ep11,JVskunkape,"Barou gets on, bc ofc he does, said from the start when they weren't in the lineup that surely Leo and Barou had to come on as subs lol. They're just too popular not to.

Also this has probably be said to death now, but I can't help it as I feel like this every episode, but I can't help but imagine a world they just invested the extra money and man power into this season that we didn't have to deal with how poor it looks at time, distracting from what would otherwise be an amazing season.I have a third testicle that gives me psychic powers",,,Nov-12,6224.0
Ep11,crabbyShinobi,Barou has conquerors haki now?!,,,Nov-22,20.0
Ep12,hanyuhi16,"Barou hunting and wanting to eat Isagi alive mwahaha, it doesn't get gayer than that and I'm loving it!

It did get gayer than that with the baro baro kyun omg 😍😍. I live for the additional time in each ep!!",,,Jul-07,631.0
Ep12,Ranxomare,"Barou was the surprise end his goal draw the match!!!
kekeke",,,Apr-16,25194.0
Ep12,jas-samaaa,Barou 🔥 the lion is evolving too devoring shitt 😈,,,May-21,2612.0
Ep12,Seb87,"Barou! Barou! Kyun!
Barou! Barou! Kyun!

",,,Nov-22,66.0
Ep12,MeKuMint,"Barou's goal is the one I've been looking forward to the most this season, since it's my favorite goal of the entire Blue Lock manga, but if I'm honest, the anime didn't do the manga any justice.

Back in the day I jumped with excitement when I read it, now I'm left with a disappointed look when I see it animated...

The last goal (you know who's) had better be up to par.",,,Mar-23,155.0
Ep12,Biisoo,"Barou's goal was so underwhelming... After that Shidou goal, I got my hopes up but it wasn't remotely close. :(
Oh well, Final 2 EPs next week then we can say goodbye to this disastrous production of a season.",,,Apr-15,2778.0
Ep14,Kuzdwq,Beautiful masterpiece. I dont know why people hate the animation but its amazing.,,,Mar-18,2.0
Ep9,joshlill,Becoming very obvious that sae has done and said all this to motivate his brother and he doesn’t actually hate him.,,,Mar-24,78.0
Ep9,SouthRzVa,"Beginning of the episode was so wholesome with Isagi and Bachira's parents meeting each other. Same goes for Chigiri interacting with his mom and older sister.

As for the rest of the episode, it was pretty meh if I'm honest. Though I gotta say I'm kinda curious to know who Sae met in Real Madrid to become such a bitch.★ Anime List★ Manga List",,★ Profile,Jul-16,9146.0
Ep4,Katalizor,Best animated episode so far in this season. ,,,Apr-21,65.0
Ep7,ladderboi123,Best episode so far and the Nagi goal and celebration nulled out all the other problems so far for me.,,,Dec-23,64.0
Ep10,Fyro_252,Best episode so far.,,,Sep-24,1.0
Ep14,ladderboi123,"Best episode so far. 8bit have not let us down with these final episodes
",,,Dec-23,64.0
Ep13,Yasminaa,Best episode up until now. The soundtrack was on fire as well.,,,Aug-21,241.0
Ep14,Erikk_,Best episode!!!!,,,Jul-21,3.0
Ep14,LeLisk,"Best sport anime episode ever.
Masterclass
",,,Mar-19,1.0
Ep4,Ashhk,Better episode regarding the animation right? Anyway I really like Reo,,,Apr-18,35506.0
Ep14,luccide,"Big statement to make but if u don't like this episode then u don't like anime 10/10 episodeSignature removed. Please follow the signature rules, as defined in the Site & Forum Guidelines.",,,Oct-07,1371.0
Ep13,Skuvan,"Bit sad that the anime is starting to be absolutely insane in the last couple of episodes, however, amazing episodes, in a literal sense.",,,Aug-16,660.0
Ep4,EyuZ24,Blue Frames Curse,,,Nov-20,7.0
Ep7,LucenProject,"Blue Lock = Oops, All Strikers!",,,Oct-22,622.0
Ep5,Pre_Yum,"Blue Lock XI has been chosen and Isagi is in it. Happy for the boy but this means he has another challenge in front of him now. They have to defeat the best in Japan now. But, we're missing Shidou now, and looks like our opponents got him on their team for this match. Can't wait to see this match. I'm so excited. 

They're building it up pretty nicely. So, I'm expecting nice things from the match. The FLOW was pretty good as well. Isagi will have to tap into his FLOW as well. 
",,,Jun-19,6892.0
Ep1,Nerdason,"Blue Lock is back! It doesn't even seem like it was in 2023 that it had its last season



OLÉ SAMBA!


  ",,,Feb-20,1337.0
Ep6,Mob_Psykos,"Blue Lock season 2 did something I didn't think possible. It made me not care about the animation. How did it do this? Simple.

I no longer have a soul. Yes that's right, Blue Lock S2 has robbed me of my soul. I don't even care about anything anymore. My entire body is in physical pain but I do not care.",,,Jan-23,18.0
Ep4,icyicy00,Blue Lock was always better as a drama than as a straight sports shonen anyways,,,May-15,113.0
Ep6,kyledluffy,Blue Lock? More like... png lock🤭,,,Jan-23,874.0
Ep3,EyuZ24,Blue frames curse ,,,Nov-20,7.0
Ep7,EyuZ24,Blue frames saga continues...,,,Nov-20,7.0
Ep8,EyuZ24,Blue frames strikes again,,,Nov-20,7.0
Ep5,landofthekwt,Blue lock 11 are chosen at the cost of the biggest egoist,,,Mar-15,14266.0
Ep6,Apratim,"Blue lock animation during match 🤡
During other scenes 🗿

like bruh? they can only draw well and can't aninate the movements or what??",,,May-21,3082.0
Ep1,jas-samaaa,"Blue lock is back & ppl r complaining about the animation, great start ffs.",,,May-21,2612.0
Ep2,levibigass,Blue lock more like Frame lock ft.power point presentations... honestly there was 90% yapping in this ep and the other ten percent was introducing other characters which we will not even remember after 5 or 6 eps cause they will be cast out and some new characters will take there place (as it happened with other previous characters).. i can understand that u need to introduce a bunch of character in a series which has football in it but there is a limit I can't take two breathes and 5 characters are introduced right of the bat with different hair styles and personality... man calm down .....,,,Jan-22,278.0
Ep3,Toooooooooohru,Blue slideshow is pretty hard to watch sometimes,,,Mar-24,309.0
Ep4,PettankoLover,"Boring episode, the animation is ass as always",,,Nov-16,368.0
Ep8,Rasco,"Brah brilliant plays, man first half.. feels like forever haha
Behold of my awesomeness~ 
controversial and/or sensitive topics likely devolve into the same repetitive, derogatory, abusive, and harassing comments can no longer be posted.
But my feels. ",,,Mar-10,56284.0
Ep7,Rasco,"Brah insane and cool goal, Was expecting more from rin
Behold of my awesomeness~ 
controversial and/or sensitive topics likely devolve into the same repetitive, derogatory, abusive, and harassing comments can no longer be posted.
But my feels. ",,,Mar-10,56284.0
Ep3,LightRobot,Bro I DON'T CARE HOW BAD THE ANIMATION GETS the hype is still unreal and I still rewatch the scenes because they're so cool,,,Sep-24,7.0
Ep14,Caram3lMacchiato,"Bro WHERE WAS THIS ANIMATION BEFORE??? I know so many ppl who dropped this cause of how bad the animation was just for the last episode to go INSANE. Tho im glad they did so well with these scenes as I was looking foward to them the most. But overall this episode was amazing in my opinion and Rin's VA was WORKINGGGG. I honestly hope that they finish adapting the rest of the series, but I desperately need this animation problem to be fixed.",,,Aug-23,15.0
Ep3,kyledluffy,Bro is finding the puzzle pieces as per usual🧩,,,Jan-23,874.0
Ep9,FMmatron,"Brocon final boss. This is another of these sibling relationships that went from adorable to toxic over time. That said, Sae was always pretty extraedgy

But you gotta love Bachira's mother.
One Piece episode 914 & 915 & 1027 were a mistake and 957 brought the salvation - FMmatron


",,,Nov-16,32403.0
Ep8,SilverCrono,"Bruhhhhh that Chigiri play was amazing I can't even lie, that guys resolve brings me chills every time",,,Oct-12,154.0
Ep10,Matchappie,CHAMELEON DEFENSE!!!!,,,Jun-23,236.0
Ep14,Batmanplayer,"CINEMA, SIMPLESMENTE INCRÍVEL",,,Sep-18,1.0
Ep12,Rasco,"Can't lie twas pretty hype. 
Behold of my awesomeness~ 
controversial and/or sensitive topics likely devolve into the same repetitive, derogatory, abusive, and harassing comments can no longer be posted.
But my feels. ",,,Mar-10,56284.0
Ep2,YudiYusantoS,"Can't wait to see Yoichi in action after getting all those pieces.- Mal-Badge -

Level 25
Ranked 1135
Last update : 27.02.2022 at 05:50

My Candies : 


I'm level  on mal-badges. View my badges.



 ",,,Feb-21,3552.0
Ep4,Ranxomare,"Chameleon, a very interesting technique, but I don't think it's the way to go!
kekeke",,,Apr-16,25194.0
Ep10,Aleksu,"Chigiri :'<

Hiorin and Reo subbed in, it was cool to see them in action!

Episode was so hyped can't blame Shidou for cu–.

∆ Anime List ∆ Manga List ∆ Blog ∆ YURU CAMP
",,,Jun-15,370.0
Ep10,NegativeRei,Chigiri ran for the first time in season 2 and he's already out of gas.,,,Sep-24,399.0
Ep2,AishinDesu,"Chigiri sequence was my favorite that's it the episode man lol there literally wasn't any animation IT'S A LITERAL PNG SLIDESHOW, feels like a a motion manga one of those edits but with voice. Still in some department this season is better than the last like overall drawing quality, the compositing vfx which at times can be bit too much and the usage CGI seems to be a lot better this season. This episode gave me second hand embarrassment where I was trying to defend this season animation... hopefully when U20 match starts it will have ACTUAL ANIMATION.",,,Mar-24,220.0
Ep8,Skuvan,"Chills at the Chigiri scene, haven't heard his OST since first season i think. Also loved the Sae vs Rin scenes. Excited for the upcoming episodes!",,,Aug-16,660.0
Ep5,Houinshi,"Cmon Isagi, to the top !!!!",,,Oct-17,2.0
Ep3,Sheol01,"Come on, a little more guys, with a little effort, you can actually make an Anime'. You know where everything moves?  ",,,Jul-24,4111.0
Ep9,utopica,"Completely removed Shidou's angel wings



close up of his face surely had the same menacing effect, huh

",,,Apr-21,577.0
Ep11,BurningSpirit,"Considering this was one of the more intense moments in the U20 match, kinda disappointed

For such a dynamic goal inspired by a goalkeeper coming out to clear the ball, then a 30 yard bicycle kick... We got a slide show of Gagamaru already out of his box, decent header animated, mostly slideshow of Shidou staring at the ball with visual effects, an excessively shiny sequence of cells + fertilisation, a long panning stillframe, then the closest possible framing of the bicycle kick so only about 2 seconds of animation is needed, and then we skip the transition from the kick to the landing

And yes, at this point I'm watching this because I'm heavily intrigued to see just how much movement they can cut out of a sports-centric anime due to production issuesIf your favourite character is Tsutsukakushi Tsukiko, you are my soul mate.

Been a long time since I've been here, I'll continue expressing myself freely and believe everyone should too.
My MAL Interview",,,Nov-14,4054.0
Ep5,terebitosan,Cringe tension with the antenna guy. Doesn't he have a family and isn't there any law against keeping people unwillingly? It was a stupid unnecessary scene.,,,Aug-22,154.0
Ep2,sakurasyinks,"Cutie-pie Chigiri always shines in the most unexpected ways while Rin is the solo outstanding warrior that shocks everyone with just simple moves, but somehow whenever Isagi realizes something that he has to do, it usually gives me goosebumps. He's that unknown factor in the Blue Lock world that surprises us the most so I'm really looking forward how he's going to surpass this ordeal.",,,Jan-17,494.0
Ep2,Gekko_ua,DVD moving logo has better animation than this. Logo hitting corner brings more hype than that Shido shot.,,,Dec-23,51.0
Ep13,Rasco,"Da faq was going on with rin at da end there? lol dude is spasming out. 
Behold of my awesomeness~ 
controversial and/or sensitive topics likely devolve into the same repetitive, derogatory, abusive, and harassing comments can no longer be posted.
But my feels. ",,,Mar-10,56284.0
Ep9,adbeaver,"Daaamn Chigiri's sister is a beauty

Wished we could see how the start of the second half plays out, but it was nice seeing the Itoshi brothers past. 

When Rin said he was going to crush his brother's dream I was like ""how? his dream is to become the best midfielder, and your dream is to become the best striker"". Then he said ""I'm going to kill you""..... Oh..adbeaverNov 30, 2024 11:32 AM",,,Mar-15,1074.0
Ep14,RioFS,"Damn did Rin go completely off the rails. They finally unlocked the Frame Lock and gave us a pretty awesome duel of the brothers in 2D rather than CGI. Not enough to redeem the season in my opinion but at least the finale of Phase 1 was good. 



",,,May-21,60046.0
Ep12,Ronninn,Damn my motion picture anime finally gets animated,,,Jan-20,2255.0
Ep10,Artromex,"Damn some of the scenes in this episode actually had some really nice animation. Shidou was finally done justice this season 😭🙏 Overall loved this episode again, definitely got me hyped and it sucks that we have to wait another week for a new episode again",,,Apr-23,286.0
Ep9,davidyodo24,"Damn the Uchiha (Itoshi) tragic backstory lol
Literally Rin was Sasuke and Sae was Itachi, no joke bro. 
First he love his brother and now he want to kill him. 

This is so crazy LMAO",,,Oct-19,7615.0
Ep12,SouthRzVa,"Damn, Aiku had Indio Solari as his coach. Crazy stuff.

But seriously, what in the world was that Additional Time? Barou arguably having his coolest moment till date and they disrespect him like that? Bruh... Like come on, dude even forgot the anime he was in and ended up doing a Black Flash with his shot.★ Anime List★ Manga List",,★ Profile,Jul-16,9146.0
Ep3,The_Black_B3ast,"Damn, I'm not feeling the hype of each shot no more😅. I guess animation really does matter. Nonetheless, Isagi's flow state goes crazy😅. I can't wait to see them all in flow state.",,,Aug-21,1032.0
Ep4,Mersailia,"Damn, not me almost crying at how Reo was telling Nagi that he couldn't play the soccer he wanted and for Reo to leave him be until he can😥. Also, Nagi is definitely right about Rin being a toxic slime monster. The boy gets more edgy and mean every episode.Born to shoujo, forced to shounen.

 
",,,Jul-24,46.0
Ep13,_MushiRock11_,"Damn, that’s one way to end the episode on a tense note! Isagi’s taken the limelight by observing Rin closely but for Blue Lock to take the win, you’d have to imagine Rin will have to be a big piece and if it feels like that’s finally come around. Can we get a dope Isagi - Rin link play now?

Bachira’s solo run was quite something mid-episode there. Capt. Aiku’s little stunt as an attacker had all the right elements, I thought the game would go down 5-4 to Blue Lock, lol. Looks like we’re set for 4-3 though.

This must be some entertainment for the fans, and Japan soccer here will definitely take a leap no doubt. Looking forward to seeing what next ep’s got in store for us. #Anime4Life be my Life Motto! #PrayForKyoAni

 Boku no Anime List   Boku no Manga List   Boku no Profile Page ",,,Jun-17,8093.0
Ep14,moxinkaiser,Damn. Absolutely crazy sequence of peak animation. Hope S3 would be like this. ,,,Sep-24,20.0
Ep6,Tsuyo_Mika,"Day of the match with U20 team. Match is in the blue lock stadium, open to the public. U20 team arrives. Ego Jinpachi’s speech is telecasted throughout the place, but no one in the public gives a damn about it. 

Isagi’s family attends the match.  I forgot if it’s his parents 😅.

The stadium is packed, and the match begins. I usually don’t mind animation in any anime, but this is so clear to me compared to other episodes. Seems like they are struggling with the animation for the match.

Isagi found the next person he can consider his challenge",,,May-20,1203.0
Ep11,Teemplario,"Define ""aura."" The answer is Barou.",,,Nov-22,1055.0
Ep8,Thatboidriz,Definitely enjoyed watching this week. I can’t believe we are up 1-2 right now!!!!,,,May-23,140.0
Ep10,Xiao,"Definitely the most enjoyable episode of the season for me so far. Some scenes were done pretty well imo, such as Shidou's goal, Hiori's kick, and Reo's chameleon defense. I gotta say though, the show's constant use of the Sae-walking-with-his-hands-on-his-hips image never fails to make me laugh. 

✫anime list✫manga list",,"""As promised, all that you seek, all that we desire, is prepared up there. On top of the Tower.""",Apr-15,1590.0
Ep7,Zephryn24,"Despite its time constraints and possible budget issues, I can still see the amount of effort they put into this show. There are those moments that you see greatness seeping through.

This episode is one of those moments.",,,Feb-21,35.0
Ep3,Caram3lMacchiato,Despite the animation I was pretty hyped for this episode. It was good,,,Aug-23,15.0
Ep14,AriaZenOkis,"Despite the lacking animation in some episodes, we've got to give this some credit, Blue lock is real good, I absolutely loved the season 1 , Yes the season 2 isn't like the first one but it's good too but nothing can really beat reading the manga that shit is exciting, I always look forward to it's next release, I wonder when season 3 will be announced, I hope they don't slack off there too.",,,Jul-20,24.0
Ep6,OtakuKun1,"Did the production company already changed? I feel like this episode was much more better than before. I love the animation and characters.

Can’t wait to see Rin and Sae duelling for the first time. This will be an insane match to watch!My tickets - MAL Bunkasai 2024:

https://imgur.com/a/m7ANrqo
https://imgur.com/a/xH8YXqt
https://imgur.com/a/NnZK4E1
https://imgur.com/a/NSutGkk
https://imgur.com/a/6t8z0bQ
https://imgur.com/a/rsqzLSO
https://imgur.com/a/UIuELJD
https://imgur.com/a/OpmB5P2

",,,Oct-22,1084.0
Ep14,nhojn,"Didnt bother watching this season after seeing how rough the animation was going to be but I heard the final episode had peak animation so I saw it.
I used to dream of seeing this moment animated in its full glory and I'm so happy these talented animators were able to give us something incredible for the finale.
Please give the animators time to cook.",,,Jan-17,86.0
Ep3,Niloy_Zaman10,"Disaster continues 🤮🤮🤮🤮
Worse anime of the year tbh",,,Sep-21,33.0
Ep7,fjgmoura,"Do you guys only enjoy very well animated shows? I have been enjoying this season. From my point of view, it's a psychological approach, not an action anime, so it doesn't bother me not being well animated all the time. 😁",,,Oct-24,1.0
Ep8,PlatinumSouls,Does anyone know what song from the ost was playing when niko had his moment? Can't seem to find it. Think it starts about 9 minutes into the episode. Thank you,,,Apr-08,445.0
Ep14,_Rikune,Does someone know where Kaiser said the final words of the episode in the manga?,,,Apr-15,2.0
Ep2,Devazo,"Don't waste your time waiting for 14 slideshows and just read the manga. DevazoOct 12, 2024 7:43 PM",,,Aug-21,2.0
Ep1,Tanmay_Sharma,"Don’t know what yall are on…

I thought the animation was amazing for the extremely limited time that the animators had for this season",,,Feb-23,5.0
Ep10,Ranxomare,"Draw!!!
Well, in Blue Lock there is ""snake""!
kekeke",,,Apr-16,25194.0
Ep1,Kraken9810,Due to the animation i was not able to enjoy much but ya the dubbing was good,,,Feb-22,1.0
Ep13,DanKusa,"EXTRAORDINARY
It was insane compared to the other episodes.
DAMN GREAT",,,Jun-17,1.0
Ep6,RRDeborah,El CGI es horrendo,,,Jul-20,14.0
Ep1,JWhack7,Enough people have to not watch this so Blue Lock gets canned by this studio so a switch can happen,,,Nov-17,2.0
Ep1,Matuts,Ep ok pra inicio de tp,,,Jun-24,4.0
Ep7,Shksbr,"Even the ""Additional Time"" clips are better animated than the whole S2. Don't get me wrong, I still like the show but all these slideshows only make sense when we see Isagi reading the field. Nagis goal was insane and I can't wait to see the rest of the match.",,,Apr-16,8.0
Ep6,moxinkaiser,Even the Japan U-20 match was not saved from that bad animation. ,,,Sep-24,20.0
Ep8,Dudi4PoLFr,Even with PowerPoint tier animation this episode was style hype af! This season could be beyond amazing if the quality was on part with S1 or even better :(,,,Jan-17,643.0
Ep3,Pre_Yum,"Even with the limited animation, they were able to make this match so epic. The adrenaline was flowing through my body during the match, especially that last scene where Isagi scored the goal moving past Rin and Shidou. It was so fucking cool. With more animation, that scene would've been even more epic but it is what it is. 

Can't wait for more epic matches. But, yeah Isagi has to do less thinking now and move more on reflexes going forward if he wants to compete with the best.
",,,Jun-19,6892.0
Ep4,littletsun,"Ever since the last two episodes, I don't have any hopes for this show anymore. Let's not talk about the garbage animation and directing anymore, because Blue Lock is becoming a meme in the anime industry. As a Blue Lock fan, I am ashamed and disappointed. I am not a manga reader, but this episode was by far the worst of season 2. They spent a lot of screentime for Isagi and his two buddies talking about the match. The match was not even interesting, it had the same vibe as the previous two episodes. Of course, PNG Lock killed it. There was no engaging movements, everything is just boring and all over the place. The only thing that was worth watching was the additional time.

Also, can we please stop milking Reo's past and his obsession over Nagi? Like, c'mon. They already have their own movie. At this point, I believe everyone already knows what Reo had been through. It has come to the point where I don't pity him anymore. Plus, it doesn't make sense that Reo could copy someone else's techniques in such a short time. Just like how Isagi suddenly went OP in the previous episode. Not to mention the bad PNG as well. Lol.",,,Nov-23,2.0
Ep4,Violet_KFY,"Every episode of this series is a major waste of time, barely any actual football played due to doodoo animation, 8 minutes off of the 17 wasa spent on Reo backstory for the 10th time ... dude the whole movie was about that ...move on we get it, 5 minutes was saying corny cringe lines that make my skin crall and the rest of the time was over analysing and absolute brain rot yapping about what they are doing mid playing football as if 90% of it mattered ... they could go throught it way faster by showing the skill animated and not yapping about how it should look if it was animated as if we were reading a manga. 8Bit did the same crap with Slime this last season whohc is not understanding that they have to adapt the content to anime by animating it and not copying manga to anime 1 to 1 as if it's the same medium. This show screams of LAZY",,,Mar-20,114.0
Ep7,Tsuyo_Mika,"Every member of the U20 team is shown and the ball goes to Itoshi Sae. He scores from the side of the goal. 

Next Rin tries the same but is blocked. Repeated blocks and then Nagi goals. Damn, he does his introduction. Never took him for that. ",,,May-20,1203.0
Ep4,ShadowkillZ,"Every time the dynamics between Reo and Nagi are explored is more fuel is added to the Yaoi ship between these two Gay ahhhh couple, like bruh. I Reo has a dream and that Nagi is the tool and partner to achive said dream but come on, Reo out here feeling rejected and heartbroken like a girl who got her ass turned down, it ain't that deep lil bro, even if it is you're not seeing the bigger picture. 

This is one more example of a spoiled rich guy who had everything handed to him experiencing something that he can't simply attain. Your boyfriend knows you ain't allat Copy-leon!",,,Mar-16,4004.0
Ep11,Rexnihilo,"Everyone else playing soccer/football while the king is Isagi hunting lol
The Studio really love Shidou. Shidou flirting with Sae so hard in front of Rin lol. Imagine watching Shidou trying to rizz up your brother that you hate in front of you

Also did Ego really just say stand proud we already won?

and then Isagi said nah I'd win?",,,Oct-20,4533.0
Ep1,TheeFiery,"Everyone hating on the first episode is wild, at least give it time to get started. Y’all are just jumping in to hate without full on backing. Again it’s the first episode I don’t see their point in pushing it here they are really just setting things up here. You really want all their effort put into this small aspect? Much of the better stuff comes during the tryout game which will easily take up much more of the animation window (aka Flow). Or even the U20 game which was a fantastic match. Not to mention the fact that I’ve clicked on most of the peoples stuff who are digging into this with their top anime as Naruto or shit like Arifureta. Each show is good in its own right but I see no gain in coming in here just to complain about small animation differences. It’s a show enjoy it or stop watching simple as that.",,,Jan-23,1.0
Ep1,Infinite-Void,Everyone not wanting to room with Rin at the end had me cracking up 🤣,,,Apr-08,2793.0
Ep2,XlanVadame97,"Everyone says this is worse than the first season, when it looks the same except they wanted to add more quality to the character designs and that's why they look slightly static. 

For my part I can say that this is tolerable, and I would like to think that all the quality will be focused more on the match against the U20s.",,,Aug-19,5.0
Ep10,SenpaiTM,"Everytime i think it is okay, i will watch another anime like Shanfro or Ranma, and Blue Frame is bad again.
I will not watch a new season, if it will be animated like this.⡏⠉⠛⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⣿
⣿⠀⠀⠀⠈⠛⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠛⠉⠁⠀⣿
⣿⣧⡀⠀⠀⠀⠀⠙⠿⠿⠿⠻⠿⠿⠟⠿⠛⠉⠀⠀⠀⠀⠀⣸⣿
⣿⣿⣷⣄⠀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿
⣿⣿⣿⣿⠏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠠⣴⣿⣿⣿⣿
⣿⣿⣿⡟⠀⠀⢰⣹⡆⠀⠀⠀⠀⠀⠀⣭⣷⠀⠀⠀⠸⣿⣿⣿⣿
⣿⣿⣿⠃⠀⠀⠈⠉⠀⠀⠤⠄⠀⠀⠀⠉⠁⠀⠀⠀⠀⢿⣿⣿⣿
⣿⣿⣿⢾⣿⣷⠀⠀⠀⠀⡠⠤⢄⠀⠀⠀⠠⣿⣿⣷⠀⢸⣿⣿⣿
⣿⣿⣿⡀⠉⠀⠀⠀⠀⠀⢄⠀⢀⠀⠀⠀⠀⠉⠉⠁⠀⠀⣿⣿⣿
⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⠀⠈⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢹⣿⣿",,,May-21,1232.0
Ep2,Skuvan,Excited to see how Isagi will adapt in the upcoming episode!!,,,Aug-16,660.0
Ep14,Pre_Yum,"FUCK YEAH.!!!!! THIS IS WHAT I'M TALKING ABOUT

THAT LAST WINNING GOAL WAS ABSOLUTE CINEMA!!!! AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH

FUCK YEAH!!!! ISAGI!
",,,Jun-19,6892.0
Ep3,13thvagabond,Fantastic as always,,,May-24,30.0
Ep2,Cevoy,"Felt like I was watching a trailer for a manga at times
𝒫𝓇𝑜𝒻𝒾𝓁𝑒
𝒜𝓃𝒾𝓂𝑒 𝐿𝒾𝓈𝓉

𝑀𝒶𝓃𝑔𝒶 𝐿𝒾𝓈𝓉

☽ ",,,Dec-17,734.0
Ep14,red-tomato,"Final segment was good, if not a bit too quick. Reading the Rin vs. Sae felt like forever and the Isagi last shot was less hype than the S1 match against Team V. Still, glad that out of the hype moments they got this season, Shidou got the best. It was my favorite in the arc because of his philosophy.

As for the whole season, I didn't watch it all due to the abysmal production quality. Especially ironic given the whole U20 arc happened because of management being the greedy pricks that they are. You'd think the higher-ups would have felt something reading this. It's like Oshi no Ko but backwards.An admin's dickhead Soul banned me from MAL t('v't)",,,Mar-17,1572.0
Ep9,RioFS,"Finally a somewhat enjoyable episode. Shame we're going back to Frame Lock next ep onwards. Though they can still surprise me with Rin's character.



",,,May-21,60046.0
